       327        135        203        337
       135        327        203        176
       318         45        343        176
       152         32        343        362
        32        152        343        176
        45         32        343        176
       152         51        203        176
        51        135        203        176
        32         51        152        176
        51         32         45        176
       127        307        318        267
       307        127        318        176
       318        127         45        176
         3         51         32         45
        19          3         21          0
        19          3         51         21
         3         19         51         45
        99         19        127         45
       127         99         45        176
        99         51         45        176
        19         99         51         45
        99        127        307        176
        99         19         51         21
        99        307        327        176
        51         99         21        135
        51         99        135        176
       135         99        327        176
       365        141        210        379
       141        365        210        181
       203         51        152        181
       154         32        152        362
        32        154        152        181
        51         32        152        181
       154         55        210        181
        55        141        210        181
        32         55        154        181
        55         32         51        181
       135        351        203        337
       351        135        203        181
       203        135         51        181
         3         55         32         51
        21          3         27          0
        21          3         55         27
         3         21         55         51
       106         21        135         51
       135        106         51        181
       106         55         51        181
        21        106         55         51
       106        135        351        181
       106         21         55         27
       106        351        365        181
        55        106         27        141
        55        106        141        181
       141        106        365        181
       229        138        208        248
       138        229        208        187
       210         55        154        187
       155         32        154        362
        32        155        154        187
        55         32        154        187
       155         57        208        187
        57        138        208        187
        32         57        155        187
        57         32         55        187
       141        236        210        379
       236        141        210        187
       210        141         55        187
         3         57         32         55
        27          3         28          0
        27          3         57         28
         3         27         57         55
       115         27        141         55
       141        115         55        187
       115         57         55        187
        27        115         57         55
       115        141        236        187
       115         27         57         28
       115        236        229        187
        57        115         28        138
        57        115        138        187
       138        115        229        187
       238        139        206        253
       139        238        206        183
       208         57        155        183
       153         32        155        362
        32        153        155        183
        57         32        155        183
       153         52        206        183
        52        139        206        183
        32         52        153        183
        52         32         57        183
       138        230        208        248
       230        138        208        183
       208        138         57        183
         3         52         32         57
        28          3         24          0
        28          3         52         24
         3         28         52         57
       110         28        138         57
       138        110         57        183
       110         52         57        183
        28        110         52         57
       110        138        230        183
       110         28         52         24
       110        230        238        183
        52        110         24        139
        52        110        139        183
       139        110        238        183
       389        128        375        381
       128        389        375        385
       206         52        153        385
       369         32        153        362
        32        369        153        385
        52         32        153        385
       369         48        375        385
        48        128        375        385
        32         48        369        385
        48         32         52        385
       139        395        206        253
       395        139        206        385
       206        139         52        385
         3         48         32         52
        24          3         20          0
        24          3         48         20
         3         24         48         52
       102         24        139         52
       139        102         52        385
       102         48         52        385
        24        102         48         52
       102        139        395        385
       102         24         48         20
       102        395        389        385
        48        102         20        128
        48        102        128        385
       128        102        389        385
       356        125        349        339
       125        356        349        363
       375         48        369        363
       355         32        369        362
        32        355        369        363
        48         32        369        363
       355         42        349        363
        42        125        349        363
        32         42        355        363
        42         32         48        363
       128        370        375        381
       370        128        375        363
       375        128         48        363
         3         42         32         48
        20          3         16          0
        20          3         42         16
         3         20         42         48
        94         20        128         48
       128         94         48        363
        94         42         48        363
        20         94         42         48
        94        128        370        363
        94         20         42         16
        94        370        356        363
        42         94         16        125
        42         94        125        363
       125         94        356        363
       309        123        322        288
       123        309        322        335
       349         42        355        335
       345         32        355        362
        32        345        355        335
        42         32        355        335
       345         41        322        335
        41        123        322        335
        32         41        345        335
        41         32         42        335
       125        329        349        339
       329        125        349        335
       349        125         42        335
         3         41         32         42
        16          3         15          0
        16          3         41         15
         3         16         41         42
        88         16        125         42
       125         88         42        335
        88         41         42        335
        16         88         41         42
        88        125        329        335
        88         16         41         15
        88        329        309        335
        41         88         15        123
        41         88        123        335
       123         88        309        335
       273        127        318        267
       127        273        318        320
       322         41        345        320
       343         32        345        362
        32        343        345        320
        41         32        345        320
       343         45        318        320
        45        127        318        320
        32         45        343        320
        45         32         41        320
       123        280        322        288
       280        123        322        320
       322        123         41        320
         3         45         32         41
        15          3         19          0
        15          3         45         19
         3         15         45         41
        90         15        123         41
       123         90         41        320
        90         45         41        320
        15         90         45         41
        90        123        280        320
        90         15         45         19
        90        280        273        320
        45         90         19        127
        45         90        127        320
       127         90        273        320
       325        135        327        337
       135        325        327        305
       258        104        263        305
       307        127        263        267
       127        307        263        305
       104        127        263        305
       307         99        327        305
        99        135        327        305
       127         99        307        305
        99        127        104        305
       140        303        258        254
       303        140        258        305
       258        140        104        305
        19         99        127        104
        29         19         21          0
        29         19         99         21
        19         29         99        104
       113         29        140        104
       140        113        104        305
       113         99        104        305
        29        113         99        104
       113        140        303        305
       113         29         99         21
       113        303        325        305
        99        113         21        135
        99        113        135        305
       135        113        325        305
       226        138        229        248
       138        226        229        221
       393        119        387        221
       236        141        387        379
       141        236        387        221
       119        141        387        221
       236        115        229        221
       115        138        229        221
       141        115        236        221
       115        141        119        221
       142        227        393        397
       227        142        393        221
       393        142        119        221
        27        115        141        119
        30         27         28          0
        30         27        115         28
        27         30        115        119
       108         30        142        119
       142        108        119        221
       108        115        119        221
        30        108        115        119
       108        142        227        221
       108         30        115         28
       108        227        226        221
       115        108         28        138
       115        108        138        221
       138        108        226        221
       244        128        389        381
       128        244        389        223
       246        118        247        223
       395        139        247        253
       139        395        247        223
       118        139        247        223
       395        102        389        223
       102        128        389        223
       139        102        395        223
       102        139        118        223
       144        245        246        252
       245        144        246        223
       246        144        118        223
        24        102        139        118
        25         24         20          0
        25         24        102         20
        24         25        102        118
       112         25        144        118
       144        112        118        223
       112        102        118        223
        25        112        102        118
       112        144        245        223
       112         25        102         20
       112        245        244        223
       102        112         20        128
       102        112        128        223
       128        112        244        223
       292        123        309        288
       123        292        309        311
       313         98        331        311
       329        125        331        339
       125        329        331        311
        98        125        331        311
       329         88        309        311
        88        123        309        311
       125         88        329        311
        88        125         98        311
       136        297        313        299
       297        136        313        311
       313        136         98        311
        16         88        125         98
        22         16         15          0
        22         16         88         15
        16         22         88         98
        95         22        136         98
       136         95         98        311
        95         88         98        311
        22         95         88         98
        95        136        297        311
        95         22         88         15
        95        297        292        311
        88         95         15        123
        88         95        123        311
       123         95        292        311
       263        127        271        267
       127        263        271        265
       260         74        269        265
       274         34        269        278
        34        274        269        265
        74         34        269        265
       274         63        271        265
        63        127        271        265
        34         63        274        265
        63         34         74        265
       140        258        260        254
       258        140        260        265
       260        140         74        265
         4         63         34         74
        29          4         19          0
        29          4         63         19
         4         29         63         74
       104         29        140         74
       140        104         74        265
       104         63         74        265
        29        104         63         74
       104        140        258        265
       104         29         63         19
       104        258        263        265
        63        104         19        127
        63        104        127        265
       127        104        263        265
       280        123        284        288
       123        280        284        277
       271         63        274        277
       281         34        274        278
        34        281        274        277
        63         34        274        277
       281         58        284        277
        58        123        284        277
        34         58        281        277
        58         34         63        277
       127        273        271        267
       273        127        271        277
       271        127         63        277
         4         58         34         63
        19          4         15          0
        19          4         58         15
         4         19         58         63
        90         19        127         63
       127         90         63        277
        90         58         63        277
        19         90         58         63
        90        127        273        277
        90         19         58         15
        90        273        280        277
        58         90         15        123
        58         90        123        277
       123         90        280        277
       297        136        294        299
       136        297        294        290
       284         58        281        290
       286         34        281        278
        34        286        281        290
        58         34        281        290
       286         70        294        290
        70        136        294        290
        34         70        286        290
        70         34         58        290
       123        292        284        288
       292        123        284        290
       284        123         58        290
         4         70         34         58
        15          4         22          0
        15          4         70         22
         4         15         70         58
        95         15        123         58
       123         95         58        290
        95         70         58        290
        15         95         70         58
        95        123        292        290
        95         15         70         22
        95        292        297        290
        70         95         22        136
        70         95        136        290
       136         95        297        290
       301        129        296        302
       129        301        296        295
       294         70        286        295
       287         34        286        278
        34        287        286        295
        70         34        286        295
       287         60        296        295
        60        129        296        295
        34         60        287        295
        60         34         70        295
       136        300        294        299
       300        136        294        295
       294        136         70        295
         4         60         34         70
        22          4         11          0
        22          4         60         11
         4         22         60         70
       107         22        136         70
       136        107         70        295
       107         60         70        295
        22        107         60         70
       107        136        300        295
       107         22         60         11
       107        300        301        295
        60        107         11        129
        60        107        129        295
       129        107        301        295
       293        124        285        289
       124        293        285        291
       296         60        287        291
       282         34        287        278
        34        282        287        291
        60         34        287        291
       282         54        285        291
        54        124        285        291
        34         54        282        291
        54         34         60        291
       129        298        296        302
       298        129        296        291
       296        129         60        291
         4         54         34         60
        11          4          9          0
        11          4         54          9
         4         11         54         60
        92         11        129         60
       129         92         60        291
        92         54         60        291
        11         92         54         60
        92        129        298        291
        92         11         54          9
        92        298        293        291
        54         92          9        124
        54         92        124        291
       124         92        293        291
       276        130        272        268
       130        276        272        279
       285         54        282        279
       275         34        282        278
        34        275        282        279
        54         34        282        279
       275         61        272        279
        61        130        272        279
        34         61        275        279
        61         34         54        279
       124        283        285        289
       283        124        285        279
       285        124         54        279
         4         61         34         54
         9          4         12          0
         9          4         61         12
         4          9         61         54
        93          9        124         54
       124         93         54        279
        93         61         54        279
         9         93         61         54
        93        124        283        279
        93          9         61         12
        93        283        276        279
        61         93         12        130
        61         93        130        279
       130         93        276        279
       259        143        262        257
       143        259        262        266
       272         61        275        266
       270         34        275        278
        34        270        275        266
        61         34        275        266
       270         73        262        266
        73        143        262        266
        34         73        270        266
        73         34         61        266
       130        264        272        268
       264        130        272        266
       272        130         61        266
         4         73         34         61
        12          4         23          0
        12          4         73         23
         4         12         73         61
       109         12        130         61
       130        109         61        266
       109         73         61        266
        12        109         73         61
       109        130        264        266
       109         12         73         23
       109        264        259        266
        73        109         23        143
        73        109        143        266
       143        109        259        266
       255        140        260        254
       140        255        260        261
       262         73        270        261
       269         34        270        278
        34        269        270        261
        73         34        270        261
       269         74        260        261
        74        140        260        261
        34         74        269        261
        74         34         73        261
       143        256        262        257
       256        143        262        261
       262        143         73        261
         4         74         34         73
        23          4         29          0
        23          4         74         29
         4         23         74         73
       120         23        143         73
       143        120         73        261
       120         74         73        261
        23        120         74         73
       120        143        256        261
       120         23         74         29
       120        256        255        261
        74        120         29        140
        74        120        140        261
       140        120        255        261
       303        140        315        254
       140        303        315        333
       347         75        352        333
       341         36        352        360
        36        341        352        333
        75         36        352        333
       341         84        315        333
        84        140        315        333
        36         84        341        333
        84         36         75        333
       135        325        347        337
       325        135        347        333
       347        135         75        333
         6         84         36         75
        21          6         29          0
        21          6         84         29
         6         21         84         75
       113         21        135         75
       135        113         75        333
       113         84         75        333
        21        113         84         75
       113        135        325        333
       113         21         84         29
       113        325        303        333
        84        113         29        140
        84        113        140        333
       140        113        303        333
       256        143        317        257
       143        256        317        316
       315         84        341        316
       342         36        341        360
        36        342        341        316
        84         36        341        316
       342         81        317        316
        81        143        317        316
        36         81        342        316
        81         36         84        316
       140        255        315        254
       255        140        315        316
       315        140         84        316
         6         81         36         84
        29          6         23          0
        29          6         81         23
         6         29         81         84
       120         29        140         84
       140        120         84        316
