
#####################
#### grain 13

#    orientation:
#
#    q = [7.438407e-01, 6.324508e-01, 2.031810e-01, -7.365114e-02]
#
#    R = [[9.066e-01, 3.666e-01, 2.091e-01],
#         [1.474e-01, 1.892e-01, -9.708e-01],
#         [-3.954e-01, 9.110e-01, 1.174e-01]]
#
#    left stretch tensor:
#
#    V = [[9.979e-01, -1.731e-04, -1.581e-04],
#         [-1.731e-04, 9.965e-01, -3.919e-04],
#         [-1.581e-04, -3.919e-04, 9.970e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[-2.129e-03, -1.736e-04, -1.585e-04],
#         [-1.736e-04, -3.517e-03, -3.932e-04],
#         [-1.585e-04, -3.932e-04, -2.986e-03]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-2.180e-03, 9.938e-05, 2.243e-04],
#         [9.938e-05, -3.155e-03, 5.201e-04],
#         [2.243e-04, 5.201e-04, -3.297e-03]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[9.085e-01, 3.675e-01, 2.094e-01],
#         [1.480e-01, 1.903e-01, -9.742e-01],
#         [-3.964e-01, 9.138e-01, 1.174e-01]]
#
#    lattice parameters:
#
#    2.94437, 2.94197, 4.67008, 89.9613, 89.9743, 120.016
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (-0.307693, 0.0102187, -0.402477)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	698	3	0	1	2	6.2976e+00	-3.6071e+01	5.6338e+01	6.2992e+00	-3.6052e+01	5.6266e+01	1.5775e-03	1.9713e-02	7.2573e-02	2.3321e-01	-3.4137e-01	4.0772e-01	1.3381e+03	1.4671e+03	5.6266e+01
	1733	3	-1	1	2	6.2986e+00	-4.7677e+01	1.0730e+02	6.3002e+00	-4.7684e+01	1.0728e+02	1.6100e-03	6.2516e-03	2.6224e-02	-1.4658e-01	-4.2873e-01	3.6327e-01	1.4217e+03	1.3936e+03	1.0728e+02
	2324	3	-1	1	-2	6.2994e+00	4.4005e+01	1.3667e+02	6.2997e+00	4.4030e+01	1.3676e+02	3.0958e-04	2.4523e-02	8.9955e-02	-3.2535e-01	4.0290e-01	2.6300e-01	6.2929e+02	1.4199e+03	1.3676e+02
	1061	3	0	1	-2	6.3041e+00	5.7644e+01	7.4084e+01	6.3004e+00	5.7644e+01	7.4263e+01	3.7530e-03	7.2628e-05	1.7887e-01	5.4439e-02	4.9026e-01	3.0746e-01	5.4679e+02	1.3162e+03	7.4263e+01
	411	4	-1	-1	0	7.3733e+00	-1.6620e+02	4.1314e+01	7.3728e+00	-1.6614e+02	4.1266e+01	4.0924e-04	5.6356e-02	4.8029e-02	-5.2361e-01	-1.6181e-01	-4.0205e-01	1.1679e+03	3.9314e+02	4.1266e+01
	1618	4	1	-2	0	7.3745e+00	-1.7480e+02	1.0152e+02	7.3733e+00	-1.7482e+02	1.0130e+02	1.2718e-03	2.7906e-02	2.2104e-01	9.2143e-02	-6.1533e-02	-6.7073e-01	1.0715e+03	3.7748e+02	1.0130e+02
	268	4	1	1	0	7.3733e+00	1.3802e+01	3.3723e+01	7.3738e+00	1.3852e+01	3.3766e+01	5.1676e-04	5.0825e-02	4.3170e-02	5.2361e-01	1.6181e-01	4.0205e-01	8.5818e+02	1.6492e+03	3.3766e+01
	1469	4	-1	2	0	7.3745e+00	5.2040e+00	9.4120e+01	7.3734e+00	5.1710e+00	9.4262e+01	1.0856e-03	3.2976e-02	1.4185e-01	-9.2143e-02	6.1533e-02	6.7073e-01	9.5478e+02	1.6662e+03	9.4262e+01
	2647	4	-2	1	0	7.3685e+00	-8.5075e+00	1.5270e+02	7.3716e+00	-8.4349e+00	1.5277e+02	3.1241e-03	7.2676e-02	6.4154e-02	-6.1575e-01	-1.0028e-01	2.6868e-01	1.1081e+03	1.6642e+03	1.5277e+02
	1570	5	0	-1	3	8.1717e+00	-1.1167e+02	9.8971e+01	8.1693e+00	-1.1167e+02	9.9022e+01	2.3647e-03	3.5570e-04	5.0211e-02	-9.7472e-03	-6.9817e-01	-2.8239e-01	1.6804e+03	7.5622e+02	9.9022e+01
	2672	5	1	-1	3	8.1669e+00	-1.2556e+02	1.5426e+02	8.1673e+00	-1.2553e+02	1.5426e+02	3.8107e-04	2.7386e-02	4.3780e-03	3.7004e-01	-6.1081e-01	-2.3794e-01	1.5972e+03	6.0649e+02	1.5426e+02
	828	5	0	-1	-3	8.1641e+00	1.3296e+02	6.3273e+01	8.1651e+00	1.3299e+02	6.3264e+01	9.8421e-04	2.8050e-02	9.5683e-03	-2.7790e-01	5.4927e-01	-4.3279e-01	4.8890e+02	5.3195e+02	6.3264e+01
	1834	5	1	-1	-3	8.1660e+00	1.2200e+02	1.1237e+02	8.1666e+00	1.2200e+02	1.1229e+02	6.3152e-04	4.1451e-03	7.7815e-02	1.0189e-01	6.3664e-01	-3.8833e-01	4.0497e+02	6.4181e+02	1.1229e+02
	609	5	0	1	3	8.1641e+00	-4.7038e+01	5.1317e+01	8.1663e+00	-4.7007e+01	5.1266e+01	2.2079e-03	3.0252e-02	5.0899e-02	2.7790e-01	-5.4927e-01	4.3279e-01	1.5384e+03	1.5103e+03	5.1266e+01
	1543	5	-1	1	3	8.1660e+00	-5.7995e+01	9.7031e+01	8.1672e+00	-5.8001e+01	9.7237e+01	1.2499e-03	5.6251e-03	2.0634e-01	-1.0189e-01	-6.3664e-01	3.8833e-01	1.6224e+03	1.4020e+03	9.7237e+01
	2401	5	-1	1	-3	8.1669e+00	5.4440e+01	1.4026e+02	8.1663e+00	5.4473e+01	1.4026e+02	6.6841e-04	3.3836e-02	9.6755e-04	-3.7004e-01	6.1081e-01	2.3794e-01	4.2890e+02	1.4402e+03	1.4026e+02
	1125	5	0	1	-3	8.1717e+00	6.8330e+01	7.7075e+01	8.1689e+00	6.8328e+01	7.7265e+01	2.8201e-03	1.7556e-03	1.9036e-01	9.7472e-03	6.9817e-01	2.8239e-01	3.4614e+02	1.2859e+03	7.7265e+01
#
#    final completeness for grain 13: 97.0588%
#####################


#####################
#### grain 11

#    orientation:
#
#    q = [7.292168e-01, 6.363832e-01, -1.727346e-01, 1.828166e-01]
#
#    R = [[8.735e-01, -4.865e-01, -1.924e-02],
#         [4.678e-02, 1.232e-01, -9.913e-01],
#         [4.846e-01, 8.650e-01, 1.304e-01]]
#
#    left stretch tensor:
#
#    V = [[9.971e-01, -1.014e-04, -3.995e-04],
#         [-1.014e-04, 9.967e-01, -5.286e-04],
#         [-3.995e-04, -5.286e-04, 9.972e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[-2.897e-03, -1.018e-04, -4.006e-04],
#         [-1.018e-04, -3.354e-03, -5.302e-04],
#         [-4.006e-04, -5.302e-04, -2.769e-03]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-3.239e-03, -2.189e-04, 3.271e-04],
#         [-2.189e-04, -2.571e-03, 4.996e-04],
#         [3.271e-04, 4.996e-04, -3.209e-03]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[8.762e-01, -4.875e-01, -1.934e-02],
#         [4.728e-02, 1.240e-01, -9.945e-01],
#         [4.863e-01, 8.672e-01, 1.302e-01]]
#
#    lattice parameters:
#
#    2.94126, 2.94329, 4.67049, 89.9691, 89.9625, 120.002
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (-0.257159, 0.00179218, -0.232482)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	790	0	-1	0	0	4.2568e+00	-1.7411e+02	6.1068e+01	4.2551e+00	-1.7411e+02	6.1263e+01	1.7845e-03	6.2421e-03	1.9505e-01	-2.0155e-01	-4.0287e-02	-3.3449e-01	1.0513e+03	6.5167e+02	6.1263e+01
	2028	0	0	-1	0	4.2539e+00	-1.7289e+02	1.2149e+02	4.2549e+00	-1.7290e+02	1.2129e+02	9.6135e-04	1.3194e-02	1.9695e-01	1.9078e-01	-4.8529e-02	-3.3936e-01	1.0591e+03	6.5380e+02	1.2129e+02
	1937	0	0	1	0	4.2539e+00	7.1103e+00	1.1720e+02	4.2550e+00	7.1064e+00	1.1726e+02	1.1345e-03	3.9390e-03	6.4753e-02	-1.9078e-01	4.8529e-02	3.3936e-01	9.6714e+02	1.3920e+03	1.1726e+02
	703	0	1	0	0	4.2568e+00	5.8939e+00	5.6789e+01	4.2548e+00	5.8904e+00	5.6763e+01	2.0013e-03	3.5344e-03	2.5509e-02	2.0155e-01	4.0287e-02	3.3449e-01	9.7500e+02	1.3916e+03	5.6763e+01
	1942	1	0	0	-2	4.6433e+00	9.7174e+01	1.1644e+02	4.6432e+00	9.7194e+01	1.1679e+02	1.4462e-04	1.9649e-02	3.4856e-01	8.2569e-03	4.2452e-01	-5.5569e-02	6.1039e+02	9.7182e+02	1.1679e+02
	1193	1	0	0	2	4.6433e+00	-8.2826e+01	8.0466e+01	4.6433e+00	-8.2815e+01	8.0273e+01	3.5112e-06	1.0786e-02	1.9320e-01	-8.2569e-03	-4.2452e-01	5.5569e-02	1.4162e+03	1.0726e+03	8.0273e+01
	754	2	-1	0	1	4.8513e+00	-1.4560e+02	5.9093e+01	4.8478e+00	-1.4557e+02	5.9263e+01	3.4325e-03	2.3124e-02	1.7001e-01	-2.0568e-01	-2.5255e-01	-3.0671e-01	1.2528e+03	6.7183e+02	5.9263e+01
	2060	2	0	-1	1	4.8485e+00	-1.4428e+02	1.2391e+02	4.8482e+00	-1.4429e+02	1.2376e+02	3.2214e-04	4.3185e-03	1.4639e-01	1.8665e-01	-2.6079e-01	-3.1158e-01	1.2607e+03	6.7858e+02	1.2376e+02
	2011	2	0	-1	-1	4.8445e+00	1.5848e+02	1.2057e+02	4.8468e+00	1.5849e+02	1.2076e+02	2.3266e-03	8.7074e-03	1.9047e-01	1.9491e-01	1.6373e-01	-3.6715e-01	8.5779e+02	6.2855e+02	1.2076e+02
	852	2	-1	0	-1	4.8469e+00	1.5735e+02	6.4037e+01	4.8472e+00	1.5735e+02	6.4261e+01	3.1398e-04	3.0034e-03	2.2400e-01	-1.9742e-01	1.7197e-01	-3.6228e-01	8.4999e+02	6.3051e+02	6.4261e+01
	1888	2	0	1	1	4.8445e+00	-2.1519e+01	1.1536e+02	4.8471e+00	-2.1514e+01	1.1526e+02	2.6822e-03	5.2289e-03	9.5268e-02	-1.9491e-01	-1.6373e-01	3.6715e-01	1.1688e+03	1.4173e+03	1.1526e+02
	745	2	1	0	1	4.8469e+00	-2.2649e+01	5.8786e+01	4.8471e+00	-2.2656e+01	5.8763e+01	1.4636e-04	7.3758e-03	2.2985e-02	1.9742e-01	-1.7197e-01	3.6228e-01	1.1766e+03	1.4129e+03	5.8763e+01
	652	2	1	0	-1	4.8513e+00	3.4402e+01	5.3215e+01	4.8477e+00	3.4427e+01	5.3265e+01	3.5634e-03	2.5005e-02	4.9705e-02	2.0568e-01	2.5255e-01	3.0671e-01	7.7342e+02	1.3712e+03	5.3265e+01
	1950	2	0	1	-1	4.8485e+00	3.5716e+01	1.1794e+02	4.8478e+00	3.5711e+01	1.1777e+02	6.9518e-04	5.1028e-03	1.7182e-01	-1.8665e-01	2.6079e-01	3.1158e-01	7.6558e+02	1.3671e+03	1.1777e+02
	731	3	-1	0	2	6.3042e+00	-1.2679e+02	5.8303e+01	6.3001e+00	-1.2675e+02	5.8272e+01	4.0928e-03	4.1723e-02	3.1737e-02	-2.0981e-01	-4.6481e-01	-2.7892e-01	1.4554e+03	6.9128e+02	5.8272e+01
	2164	3	0	-1	2	6.3020e+00	-1.2538e+02	1.2818e+02	6.3004e+00	-1.2537e+02	1.2827e+02	1.6017e-03	5.8343e-03	8.6672e-02	1.8252e-01	-4.7305e-01	-2.8379e-01	1.4633e+03	7.0342e+02	1.2827e+02
	2017	3	0	-1	-2	6.2958e+00	1.3956e+02	1.2088e+02	6.2990e+00	1.3957e+02	1.2082e+02	3.2173e-03	1.8817e-02	6.3195e-02	1.9904e-01	3.7599e-01	-3.9493e-01	6.5551e+02	6.0291e+02	1.2082e+02
	924	3	-1	0	-2	6.2975e+00	1.3849e+02	6.7841e+01	6.2987e+00	1.3850e+02	6.7766e+01	1.1723e-03	8.0014e-03	7.4718e-02	-1.9330e-01	3.8423e-01	-3.9006e-01	6.4778e+02	6.0857e+02	6.7766e+01
	1846	3	0	1	2	6.2958e+00	-4.0444e+01	1.1261e+02	6.2984e+00	-4.0424e+01	1.1277e+02	2.6870e-03	2.0443e-02	1.5448e-01	-1.9904e-01	-3.7599e-01	3.9493e-01	1.3713e+03	1.4430e+03	1.1277e+02
	760	3	1	0	2	6.2975e+00	-4.1509e+01	5.9438e+01	6.2991e+00	-4.1503e+01	5.9267e+01	1.6025e-03	6.1393e-03	1.7106e-01	1.9330e-01	-3.8423e-01	3.9006e-01	1.3792e+03	1.4351e+03	5.9267e+01
	546	3	1	0	-2	6.3042e+00	5.3213e+01	4.7795e+01	6.3001e+00	5.3254e+01	4.8019e+01	4.1232e-03	4.1498e-02	2.2401e-01	2.0981e-01	4.6481e-01	2.7892e-01	5.7088e+02	1.3516e+03	4.8019e+01
	1943	3	0	1	-2	6.3020e+00	5.4622e+01	1.1732e+02	6.2998e+00	5.4636e+01	1.1727e+02	2.2686e-03	1.4636e-02	4.7202e-02	-1.8252e-01	4.7305e-01	2.8379e-01	5.6294e+02	1.3422e+03	1.1727e+02
	245	4	-2	1	0	7.3763e+00	-1.7729e+02	3.2724e+01	7.3724e+00	-1.7723e+02	3.2763e+01	3.9359e-03	6.1472e-02	3.8753e-02	-5.9388e-01	-3.2045e-02	-3.2962e-01	1.0444e+03	3.7593e+02	3.2763e+01
	1440	4	-1	-1	0	7.3740e+00	-1.7248e+02	9.2803e+01	7.3736e+00	-1.7251e+02	9.2765e+01	3.6501e-04	3.2805e-02	3.8152e-02	-1.0774e-02	-8.8815e-02	-6.7386e-01	1.0974e+03	3.8096e+02	9.2765e+01
