Orientation: O[row][col]

Sp_ID O[0][0] O[0][1] O[0][2] O[1][0] O[1][1] O[1][2] O[2][0] O[2][1] O[2][2] X Y Z a b c alpha beta gamma Err1 Err2 Err3 MeanRadius Confidence 
5942 -0.001019 -0.065020 0.997883 0.874829 0.483347 0.032387 -0.484430 0.873011 0.056389 -187.943860 52.235921 29.830279 3.614731 3.618139 3.604166 90.049756 90.192088 89.977416 44.979014 0.085788 0.064747 324.539392 0.833333 
5943 -0.007655 0.138648 0.990312 0.711287 0.696847 -0.092063 -0.702860 0.703691 -0.103953 -165.843649 308.914239 30.055749 3.613554 3.614381 3.611132 90.085874 90.091301 90.001493 31.908241 0.058809 0.049495 132.208511 0.750000 
5944 -0.103805 0.749946 -0.653304 -0.976376 -0.201994 -0.076737 -0.189512 0.629904 0.753197 326.677371 -99.639738 44.569806 3.612204 3.612552 3.609584 90.024876 90.143405 89.903947 45.557894 0.092213 0.073726 80.243783 0.833333 
5956 -0.107924 0.086824 -0.990360 -0.993170 -0.053853 0.103509 -0.044347 0.994767 0.092043 -284.006907 -26.482366 55.822483 3.612658 3.617801 3.613108 90.095903 90.093882 90.076634 73.668914 0.129647 0.134582 101.833216 0.875000 
5977 -0.120791 0.783142 -0.609998 -0.969381 -0.225406 -0.097431 -0.213800 0.579551 0.786390 -312.011434 447.500195 34.065416 3.612415 3.613932 3.614403 89.977135 90.027619 89.839875 41.147635 0.096938 0.078842 336.352313 1.000000 
5979 0.009185 0.550266 0.834939 0.706196 0.587582 -0.395013 -0.707957 0.593259 -0.383198 -279.327497 -279.792689 22.426295 3.612107 3.613942 3.613579 90.032302 90.028857 89.993158 30.561569 0.049455 0.043941 169.122904 0.916667 
5983 -0.106783 0.148889 -0.983071 -0.679659 0.710727 0.181467 0.725714 0.687531 0.025300 -172.644396 44.581750 13.271189 3.614246 3.614567 3.608211 90.024127 89.974027 90.010074 23.880700 0.035653 0.028853 170.096812 0.750000 
5987 -0.119288 0.621421 -0.774343 -0.802379 0.399013 0.443820 0.584772 0.674259 0.451018 138.719040 101.581640 19.702679 3.612658 3.608292 3.614733 90.193371 89.931177 90.091288 26.786195 0.043194 0.040211 185.320626 0.833333 
5989 -0.133984 0.895526 -0.424360 -0.972260 -0.201639 -0.118545 -0.191728 0.396705 0.897700 409.586246 333.960990 22.587159 3.614073 3.614188 3.614780 90.018227 90.030174 90.036381 47.847926 0.078287 0.048220 147.128876 0.916667 
5993 0.012327 -0.834275 -0.551210 0.793003 0.343945 -0.502839 0.609092 -0.430913 0.665823 200.638244 -339.415461 13.785735 3.614682 3.613851 3.616763 90.014052 90.037953 89.982290 58.270906 0.061466 0.048665 495.328014 0.833333 
5994 0.007807 -0.816270 -0.577617 0.674912 0.430526 -0.599283 0.737857 -0.385162 0.554272 -93.897533 -255.913755 19.309185 3.615500 3.614874 3.612949 90.050269 90.027569 89.984748 28.141251 0.025214 0.020476 192.085142 0.833333 
5996 -0.023210 -0.985383 -0.168766 0.323668 0.152313 -0.933831 0.945886 -0.076299 0.315402 -275.856793 -309.732364 20.943851 3.613899 3.615382 3.613702 90.092336 89.994450 89.960793 67.722421 0.037502 0.034239 136.287623 0.750000 
5999 -0.139481 0.840866 -0.522962 -0.977777 -0.033477 0.206959 0.156517 0.540207 0.826849 370.431326 396.814802 22.117380 3.610025 3.614601 3.617018 89.912352 90.093316 89.915797 40.964716 0.104539 0.073699 129.389498 0.916667 
6001 0.016929 0.550127 0.834909 0.667096 0.615787 -0.419273 -0.744779 0.564063 -0.356563 177.413099 -412.576051 38.740484 3.609441 3.611413 3.613828 90.096109 90.155987 90.040932 70.538952 0.080653 0.080354 88.117964 0.916667 
6010 0.015301 -0.132080 0.991121 0.631859 0.769509 0.092792 -0.774932 0.624829 0.095231 -157.779962 396.109857 44.681009 3.614743 3.613608 3.609290 90.113086 90.104528 89.997522 41.741146 0.064739 0.051143 83.359597 0.750000 
6015 0.049021 -0.673784 0.737301 0.969406 0.209857 0.127325 -0.240517 0.708503 0.663457 119.915853 -109.728301 32.452879 3.612949 3.614362 3.612665 90.038602 90.108703 89.957935 29.615475 0.049829 0.047714 155.935615 0.916667 
6016 0.039492 -0.673736 0.737916 0.875912 0.378725 0.298908 -0.480852 0.634544 0.605090 372.782726 39.985168 30.247211 3.613223 3.614994 3.614023 90.045849 90.082144 89.956016 44.829558 0.043975 0.037089 207.633198 0.833333 
6020 0.044766 -0.970496 0.236926 0.971855 -0.012600 -0.235242 0.231287 0.240789 0.942617 -317.450842 -277.325302 1.118251 3.616151 3.617305 3.616016 89.999131 90.027953 89.903828 56.476478 0.064486 0.035449 209.550895 0.916667 
6026 -0.140778 0.485200 -0.862996 -0.815150 0.437902 0.379173 0.561883 0.756850 0.333864 346.458237 99.458081 36.989358 3.610673 3.612236 3.609604 89.950079 90.034206 90.022816 73.041767 0.054497 0.049524 93.742209 0.916667 
6029 -0.004018 0.682289 0.731072 0.388494 0.674717 -0.627559 -0.921442 0.281496 -0.267776 65.720610 -325.332234 11.659341 3.614451 3.614556 3.612902 90.028025 90.041446 90.051734 50.774767 0.094425 0.062749 303.197427 0.750000 
6032 0.034589 -0.962627 -0.268612 0.758016 0.200431 -0.620677 0.651318 -0.182144 0.736619 -326.742317 -403.828956 9.007314 3.615405 3.614899 3.614514 90.036925 90.043076 90.017131 40.509587 0.098818 0.073371 295.716526 0.916667 
6036 -0.012335 0.262573 0.964833 0.290917 0.924109 -0.247770 -0.956669 0.277631 -0.087786 220.546252 438.178333 14.318058 3.617919 3.613736 3.605027 89.945897 90.001992 90.032381 53.754029 0.044751 0.044396 84.170978 0.750000 
6039 0.029931 -0.911824 -0.409490 0.696316 0.312934 -0.645923 0.717111 -0.265801 0.644284 152.063516 50.598613 -47.872498 3.605200 3.613704 3.604155 89.730000 89.996118 90.084478 98.209907 0.083960 0.091939 109.304954 0.833333 
6043 -0.091326 -0.077473 -0.992803 -0.321037 0.946031 -0.044292 0.942653 0.314681 -0.111269 -308.295990 -34.069974 16.335124 3.614532 3.614687 3.613865 90.085376 90.001204 90.008003 45.944598 0.069282 0.050426 126.334496 0.750000 
6062 -0.167466 0.047560 -0.984730 -0.913527 0.368094 0.173135 0.370708 0.928571 -0.018196 166.765479 -428.531914 39.264862 3.613005 3.613087 3.613071 89.993176 90.146703 89.993164 56.598688 0.035906 0.034890 224.986361 0.750000 
6065 -0.178094 0.901094 -0.395363 -0.965167 -0.081704 0.248550 0.191665 0.425856 0.884257 -152.941108 -135.234085 40.538259 3.612207 3.612183 3.611988 89.966976 90.052796 90.064459 35.932644 0.072957 0.048143 127.616031 1.000000 
6078 0.064600 -0.216102 0.974231 0.821647 0.565561 0.070969 -0.566324 0.795890 0.214095 25.446302 227.238887 18.432268 3.613316 3.614862 3.613989 90.066594 90.040441 90.008674 27.213722 0.038789 0.032245 102.191765 0.833333 
6080 0.027785 -0.867154 0.497264 0.577015 -0.392298 -0.716349 0.816261 0.306833 0.489461 -389.661320 9.228777 34.027721 3.612035 3.612225 3.613117 90.072294 90.004641 89.930889 33.833022 0.041720 0.034848 126.353105 1.000000 
6085 0.045760 -0.013449 0.998862 0.656321 0.754219 -0.019912 -0.753093 0.656485 0.043340 57.134718 365.727284 18.212626 3.615489 3.614874 3.615029 89.988679 90.086235 89.987483 23.620565 0.039113 0.033620 217.864042 0.750000 
6094 0.091284 -0.157964 0.983216 0.956986 0.286969 -0.042744 -0.275401 0.944826 0.177365 -137.875022 -265.968412 26.924113 3.619507 3.616504 3.618220 89.965770 90.052008 89.863910 119.564101 0.059416 0.094189 56.088168 0.750000 
6099 -0.158702 -0.158400 -0.974537 -0.723433 0.690372 0.005598 0.671907 0.705901 -0.224155 336.572648 21.313044 4.830155 3.615573 3.614457 3.614393 90.018822 90.031169 90.012566 80.016708 0.062161 0.054811 267.590146 0.833333 
6106 -0.111687 -0.690081 -0.715062 -0.390382 0.692185 -0.607028 0.913853 0.211350 -0.346703 429.391774 -204.894962 -8.287498 3.615240 3.613857 3.613588 90.066494 89.984137 90.028459 59.083839 0.059804 0.041696 77.452891 0.750000 
6110 -0.083829 -0.960500 -0.265352 -0.192786 0.276891 -0.941363 0.977653 -0.027757 -0.208382 431.468154 301.950225 16.977711 3.614282 3.614997 3.613828 90.091954 90.007863 90.004040 53.488971 0.059907 0.044923 222.511940 0.916667 
6121 0.012091 0.094638 0.995438 0.381913 0.919601 -0.092067 -0.924119 0.381284 -0.025025 464.658857 -142.031276 11.138101 3.615188 3.615215 3.604490 90.197540 90.067460 90.000633 57.038769 0.063584 0.073340 325.811617 0.833333 
